Word,0
tanyajalan,55
halo,26
diri,24
bye,23
hi,20
perkenalkan,20
hai,13
dong,8
intro,5
ini,5
hello,5
world,4
woi,4
tanya,3
apa,3
jalan,3
apaan,3
sih,2
iya,2
kenalin,2
perkenalan,2
buat,2
haloo,1
hola,1
haii,1
kabar,1
dirimu,1
oke,1
hy,1
malam,1
gpp,1
woe,1
kenalkan,1
haow,1
selamat,1
hii,1
oyyyy,1
